tag	year	Title	Website	Status	motivation	type	shift locus	data shift	shift source	task	Annotator 1	Annotator 2	Notes															
xie2022unifiedskg	2022	UnifiedSKG: Unifying and Multi-Tasking Structured Knowledge Grounding with Text-to-Text Language Models	https://arxiv.org/abs/2201.05966	Done	practical	across task	pretrain-train	label	naturally occurring shifts	structured knowledge grounding	Dieuwke	Mario	Experiment in 4.1: An investigation of different pretraining procedures on generalisation to different SKG tasks															
xie2022unifiedskg	2022	UnifiedSKG: Unifying and Multi-Tasking Structured Knowledge Grounding with Text-to-Text Language Models	https://arxiv.org/abs/2201.05966	Done	practical	across task	finetune-train/test	label	naturally occurring shifts	structured knowledge grounding	Dieuwke	Mario	Experiments in 4.2: comparison of different finetuning procedures															
xie2022unifiedskg	2022	UnifiedSKG: Unifying and Multi-Tasking Structured Knowledge Grounding with Text-to-Text Language Models	https://arxiv.org/abs/2201.05966	Done	practical	across task	pretrain-test	assumed	naturally occurring shifts	structured knowledge grounding	Dieuwke	Mario	Exprements in 4.3: Analysis of zero and few-shot settings with T5															
wei2022finetuned	2022	Finetuned Language Models are Zero-Shot Learners	https://openreview.net/forum?id=gEZrGCozdqR	Done	practical	across task	finetune-train/test	assumed	naturally occurring shifts	multitask	Dieuwke	Florian	Generation experiments, where models are finetuned on some clask clusters and evaluated on others. Because only one pretrained model is considered, the relevant locus of shift is finetune train-test.															
sanh2022multitask	2022	Multitask Prompted Training Enables Zero-Shot Task Generalization	https://openreview.net/forum?id=9Vrb9D0WI4	Done	practical	across task	finetune-train/test	full	naturally occurring shifts	multitask	Dieuwke	Mario	Zero-shot task generalisation, where pretrained models are finetuned on some tasks and then tested on others.															
bragg2021flex	2021	FLEX: Unifying Evaluation for Few-Shot NLP	https://proceedings.neurips.cc/paper/2021/file/8493eeaccb772c0878f99d60a0bd2bb3-Paper.pdf	Done	practical	across task	pretrain-test	assumed	naturally occurring shifts	multitask	Dieuwke	Dennis	Pretraining only experiments, where they test how well pretrained generalise on the test data of the proposed benchmark															
bragg2021flex	2021	FLEX: Unifying Evaluation for Few-Shot NLP	https://proceedings.neurips.cc/paper/2021/file/8493eeaccb772c0878f99d60a0bd2bb3-Paper.pdf	Done	practical	across domain	finetune-train/test	covariate	naturally occurring shifts	multitask	Dieuwke	Dennis	"meta-train" setting, where they finetune on the benchmark and test generalisation across domain (this entry) and task (next entry)															
bragg2021flex	2021	FLEX: Unifying Evaluation for Few-Shot NLP	https://proceedings.neurips.cc/paper/2021/file/8493eeaccb772c0878f99d60a0bd2bb3-Paper.pdf	Done	practical	across task	finetune-train/test	label	naturally occurring shifts	multitask	Dieuwke	Dennis	"meta-train" setting, where they finetune on the benchmark and test generalisation across domain (previous entry) and task (this entry)															
perez2021true	2021	True Few-Shot Learning with Language Models	https://openreview.net/forum?id=ShnM-rRh4T	Done	intrinsic	across task	pretrain-test	assumed	generated shifts	multitask	Dieuwke	Tiago	This paper is about model selection, and it shows that if you don't use many examples in your validation set (which should be seen as part of training), few shot learning does not work as well anymore, thus arguing that it is not really few show learning															
collobert2008unified	2008	A unified architecture for natural language processing: deep neural networks with multitask learning	https://doi.org/10.1145/1390156.1390177	Done	practical	across task	train-test	label	naturally occurring shifts	semantic parsing / role labelling	Dieuwke	Florian	Multitask learning, several training languages, tested on semantic role labeling (no finetune stage)															
xu2022zeroprompt	2022	ZeroPrompt: Scaling Prompt-Based Pretraining to	https://arxiv.org/abs/2201.06910	Done	practical	across task	pretrain-test	assumed	naturally occurring shifts	multitask	Florian	Dieuwke																
artetxe2021moe	2021	Efficient Large Scale Language Modeling with Mixtures of Experts	https://arxiv.org/abs/2112.10684	Done	fairness	across task	pretrain-test	assumed	naturally occurring shifts	multitask	Florian	Dieuwke	Zero-shot/Few-shot experiment															
artetxe2021moe	2021	Efficient Large Scale Language Modeling with Mixtures of Experts	https://arxiv.org/abs/2112.10684	Done	fairness	across task	pretrain-train	assumed	naturally occurring shifts	multitask	Florian	Dieuwke	Supervised finetuning experiments															
artetxe2021moe	2021	Efficient Large Scale Language Modeling with Mixtures of Experts	https://arxiv.org/abs/2112.10684	Done	fairness	across domain	train-test	covariate	naturally occurring shifts	language modelling	Florian	Dieuwke	First experiment they test PPL out of domain (different dataset than training set)															
hoffmann2022chinchilla	2022	Training Compute-Optimal Large Language Models	https://arxiv.org/abs/2203.15556	Done	practical	across task	pretrain-test	assumed	naturally occurring shifts	multitask	Mikel	Dieuwke	Same experimental setup as Gopher below															
hoffmann2022chinchilla	2022	Training Compute-Optimal Large Language Models	https://arxiv.org/abs/2203.15556	Done	practical	across domain	train-test	covariate	naturally occurring shifts	language modelling	Mikel	Dieuwke	Same experimental setup as Gopher below															
rae2021gopher	2021	Scaling Language Models: Methods, Analysis & Insights from Training Gopher	https://arxiv.org/abs/2112.11446	Done	practical	across task	pretrain-test	assumed	naturally occurring shifts	multitask	Mikel	Dieuwke	In-context learning experiments															
rae2021gopher	2021	Scaling Language Models: Methods, Analysis & Insights from Training Gopher	https://arxiv.org/abs/2112.11446	Done	practical	across domain	train-test	covariate	naturally occurring shifts	language modelling	Mikel	Dieuwke	Language modeling evaluation in datasets different from training (assuming these are different domains but they are not explicitly controlling for it)															
smith2022megatronturing	2022	Using DeepSpeed and Megatron to Train Megatron-Turing NLG 530	https://arxiv.org/abs/2201.11990	Done	practical	across task	pretrain-test	assumed	natural data splits	multitask	Mikel	Dennis	GPT-3 like in context learning															
zhang2022opt	2022	OPT: Open Pre-trained Transformer Language Models	https://arxiv.org/abs/2205.01068	Done	practical	across task	pretrain-test	assumed	naturally occurring shifts	multitask	Dieuwke	Huygaa	In-context learning experiments with different (natural) evaluation sets															
zhang2022opt	2022	OPT: Open Pre-trained Transformer Language Models	https://arxiv.org/abs/2205.01068	Done	practical	across task	pretrain-test	assumed	generated shifts	multitask	Dieuwke	Huygaa	In-context learning experiments with different generated evaluation sets															
li2021xglm	2021	Few-shot Learning with Multilingual Language Models	https://arxiv.org/abs/2112.10668	Flag for further review	practical	across task	pretrain-test	assumed	natural data splits	multitask	Mikel		The paper evaluates a multilingual LM on in-context-learning, which I annotate as cross-task generalization instead of cross-lingual because the pretrain vs test languages are the same. There are also experiments where the in-context examples are in a different language though, which does not seem to fit our taxonomy very well. I annotated the shift_source as natural data splits because it's fragmented according to the language.															
talat2018bridging	2018	Bridging the gaps: {M}ulti task learning for domain transfer of hate speech detection	https://link.springer.com/content/pdf/10.1007/978-3-319-78583-7.pdf	Flag for further review	fairness	across domain	train-test	covariate	naturally occurring shifts	hate speech detection	Dieuwke		The "multitask learning" setup they have is super confusing to me. Do they actually evaluate out of domain there?															
fitzgerald2022massive	2022	MASSIVE: A 1M-Example Multilingual Natural Language Understanding Dataset with 51 Typologically-Diverse Languages	https://arxiv.org/abs/2204.08582	Done	practical	across task	pretrain-train	label	naturally occurring shifts	intent classification	Christos	Dieuwke	In the first experiment, they investigate how different pretrained encoders generalise when trained on the massive dataset, there is no shift in the finetuning stage, but (presumably) a shift from pretraining to finetuning, so it is marked "assumed shift" from pretrain to training.															
fitzgerald2022massive	2022	MASSIVE: A 1M-Example Multilingual Natural Language Understanding Dataset with 51 Typologically-Diverse Languages	https://arxiv.org/abs/2204.08582	Done	practical	across language	all	double	naturally occurring shifts	intent classification	Christos	Dieuwke	In the second experiment, they finetune (multilingual) models on English, and assess them on all non-English languages. Because they compare multiple multilingual pretraining procedures, this is marked a double shift.															
hu2020xtreme	2020	{XTREME}: A Massively Multilingual Multi-task Benchmark for Evaluating Cross-lingual Generalisation	https://proceedings.mlr.press/v119/hu20b.html	Flag for further review	practical	across language	all	double	naturally occurring shifts	multitask	Koustuv	Dieuwke	Finetune on English, then test on other languages, for a large number of different tasks. Since this paper compares different pretrained multi-lingual models and considers a covariate shift in the finetuning stage, it is marked a double shift: it evaluates two stages of the modelling pipeline simultaneously.															
muller2021genqa	2021	Cross-Lingual GenQA: Open-Domain Question Answering with Answer Sentence Generation	https://arxiv.org/abs/2110.07150	Flag for further review	fairness	across language			naturally occurring shifts	question answering	Dieuwke																	
wang2022benchmarking	2022	Benchmarking Generalization via In-Context Instructions on 1,600+ Language Tasks	https://arxiv.org/pdf/2204.07705	Flag for further review	practical	across task	pretrain-test	assumed	naturally occurring shifts	multitask	Dieuwke	Zhijing	Experiments with off-the-shelve pretrained LLMs without further finetuning															
wang2022benchmarking	2022	Benchmarking Generalization via In-Context Instructions on 1,600+ Language Tasks	https://arxiv.org/pdf/2204.07705	Done	practical	across task	all	full	naturally occurring shifts	multitask	Dieuwke	Zhijing	Finetune on some tasks, test on others															
wang2022benchmarking	2022	Benchmarking Generalization via In-Context Instructions on 1,600+ Language Tasks	https://arxiv.org/pdf/2204.07705	Done	practical	across language	all	full	naturally occurring shifts	multitask	Dieuwke	Zhijing	Multilingual experiments, finetune on tasks in some languages, test on (other?) tasks in other languages															
liu2021challenges	2021	Challenges in Generalization in Open Domain Question Answering	https://arxiv.org/abs/2109.01156	Done	intrinsic	compositional	finetune-train/test	covariate	natural data splits	question answering	Dieuwke	Zhijing																
Phang2018SentenceEO	2018	Sentence Encoders on {STILT}s: {S}upplementary Training on Intermediate Labeled-data Tasks	https://arxiv.org/abs/1811.01088	Flag for further review	practical	across task	pretrain-train	label	naturally occurring shifts	multitask	Dieuwke		This work considers the effect of a "pre-finetuning stage", in which they add some of the GLUE tasks, and then evaluate on the others. If we consider this pre-finetuning stage part of the pretraining procedure, I'd   say this this a label shift between pretrain and finetune. They also compare different models during pretraining. (Whoever is checking this: I found it a bit difficult to annotate)															
bowman2015tree	2015	Tree-structured composition in neural networks without tree-structured architectures	https://arxiv.org/pdf/1506.04834.pdf	Done	intrinsic	compositional	train-test	covariate	fully generated/selected	seq2seq synthetic	Dieuwke	Florian																
brown2020language	2020	Language models are few-shot learners	https://arxiv.org/pdf/2005.14165.pdf	Done	practical	across task	pretrain-test	assumed	naturally occurring shifts	multitask	Dieuwke	Tiago	Zero-shot experiments with no further updating, on several different tasks. This entry represents the natural datasets involved in the test phase.															
brown2020language	2020	Language models are few-shot learners	https://arxiv.org/pdf/2005.14165.pdf	Done	practical	across task	pretrain-test	assumed	generated shifts	multitask	Dieuwke	Tiago	Zero-shot experiments with no further updating, on several different tasks. This entry represents the generated datasets involved in the test phase.															
gontier2020measuring	2020	Measuring systematic generalization in neural proof generation with transformers	https://arxiv.org/abs/2009.14786	Done	cognitive	compositional	finetune-train/test	covariate	fully generated/selected	seq2seq synthetic	Koustuv	Dieuwke	Finetuning of pretrained TLMs to soft-theorem proving															
hupkes2018diagnostic	2018	Visualisation and `diagnostic classifiers' reveal how recurrent and recursive neural networks process hierarchical structure		Done	cognitive	structural	train-test	covariate	fully generated/selected	seq2seq synthetic	Verna	Dieuwke	For motivation both intrinsic and cognitive come to mind. Opted for intrinsic due to the stark focus on *how* the models work. Also... task is not seq2seq, right?															
hupkes2020compositionality	2020	Compositionality Decomposed: {H}ow do Neural Networks Generalise?		Done	cognitive	compositional	train-test	covariate	fully generated/selected	seq2seq synthetic	Dieuwke	Verna																
lake2018generalization	2018	Generalization without systematicity: {O}n the compositional skills of sequence-to-sequence recurrent networks		Done	cognitive	compositional	train-test	covariate	fully generated/selected	seq2seq synthetic	Dieuwke	Verna																
lakretz2021causal	2021	Causal Transformers Perform Below Chance on Recursive Nested Construction	https://arxiv.org/abs/2110.07240	Done	cognitive	structural	train-test	assumed	generated shifts	syntactic tests	Dieuwke	Verna																
lakretz2021mechanisms	2021	Mechanisms for handling nested dependencies in neural-network language models and humans	https://www.sciencedirect.com/science/article/pii/S0010027721001189	Done	cognitive	structural	train-test	assumed	generated shifts	syntactic tests	Dieuwke	Verna																
keysers2019measuring	2019	Measuring Compositional Generalization: {A} Comprehensive Method on Realistic Data		Done	cognitive	compositional	train-test	covariate	fully generated/selected	semantic parsing / role labelling	Dieuwke	Verna																
livska2018memorize	2018	Memorize or generalize? {S}earching for a compositional {RNN} in a haystack		Done	cognitive	compositional	train-test	covariate	fully generated/selected	seq2seq synthetic	Dieuwke	Verna																
mul2019siamese	2019	Siamese recurrent networks learn first-order logic reasoning and exhibit zero-shot compositional generalization	https://arxiv.org/pdf/1906.00180.pdf	Done	cognitive	compositional	train-test	covariate	fully generated/selected	NLI	Dieuwke	Verna	Substitutivity experiments in an NLI task, among other things															
raunak2019compositionality	2019	On Compositionality in Neural Machine Translation	https://arxiv.org/abs/1911.01497	Done	cognitive	compositional	train-test	covariate	fully generated/selected	machine translation	Verna	Dieuwke	systematicity experiments															
raunak2019compositionality	2019	On Compositionality in Neural Machine Translation	https://arxiv.org/abs/1911.01497	Done	cognitive	compositional	train-test	covariate	generated shifts	machine translation	Verna	Dieuwke	productivity experiments															
saxton2019analysing	2019	Analysing Mathematical Reasoning Abilities of Neural Models	https://arxiv.org/pdf/1904.01557.pdf	Done	cognitive	compositional	train-test	covariate	generated shifts	seq2seq synthetic	Yanai	Dieuwke	Comparison of how well transformers and LSTMs generalise to mathematical reasoning problems															
power2021grokking	2021	Grokking: {G}eneralization beyond overfitting on small algorithmic datasets	https://arxiv.org/pdf/2201.02177.pdf	Done	practical	compositional	train-test	assumed	fully generated/selected	seq2seq synthetic	Dennis	Dieuwke	Task here is a bit unclear, since this is not NLP but predicting the result sof equations															
mccann2018natural	2018	The natural language decathlon: {M}ultitask learning as question answering	https://arxiv.org/pdf/1806.08730.pdf	Done	practical	across task	train-test	covariate	naturally occurring shifts	multitask	Dennis	Dieuwke	The experiment that compares multitask with single task training for classification tasks formulated as questions, given the differences in training sets between those two experiments, this implicitly investigates a covariate shift between the two experiments.															
mccann2018natural	2018	The natural language decathlon: {M}ultitask learning as question answering	https://arxiv.org/pdf/1806.08730.pdf	Done	practical	across domain	pretrain-train	covariate	naturally occurring shifts	multitask	Dieuwke	Dennis	There is one pretrain finetune experiment where they check whether pretraining on DecaNLP helps when finetuning for SST and SNLI (zero-shot performance is also tested)															
mccann2018natural	2018	The natural language decathlon: {M}ultitask learning as question answering	https://arxiv.org/pdf/1806.08730.pdf	Done	practical	across task	pretrain-train	covariate	naturally occurring shifts	multitask	Dieuwke	Dennis	There is one pretrain finetune experiment where they check whether pretraining on DecaNLP helps when finetuning for two new tasks (NER and English -Czech translation). 															
hu2020xtreme	2020	{XTREME}: {A} Massively Multilingual Multi-task Benchmark for Evaluating Cross-lingual Generalisation	http://proceedings.mlr.press/v119/hu20b.html	Done	practical	across language	finetune-train/test	covariate	naturally occurring shifts	multitask	Dennis	Dieuwke	Benchmark for zero-shot cross-lingual transfer															
elangovan-etal-2021-memorization	2021	Memorization vs. generalization: quantifying data leakage in NLP performance evaluation	https://arxiv.org/pdf/2102.01818.pdf	Done	intrinsic	robustness	train-test	covariate	natural data splits	named entity recognition (NER)	Dennis	Dieuwke	They test to what extend train / test overlap affects model performance on NER / RE? Might still interesting due to the memorization vs. generalization angle															
yogatama2019learning	2019	Learning and evaluating general linguistic intelligence	https://arxiv.org/pdf/1901.11373.pdf	Done	cognitive	robustness	pretrain-train	covariate	naturally occurring shifts	NLI	Dennis	Dieuwke	Test generalization by training from scratch / fine-tuning pre-trained models on show how pre-training impacts performance on other tasks / how much data is needed to perform well															
yogatama2019learning	2019	Learning and evaluating general linguistic intelligence	https://arxiv.org/pdf/1901.11373.pdf	Done	cognitive	robustness	finetune-train/test	covariate	naturally occurring shifts	question answering	Dennis	Dieuwke	Also check generalization to other datasets of the same task															
wong2007generalisation	2007	Generalisation towards combinatorial productivity in language acquisition by simple recurrent networks	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4227538&casa_token=Tq0pu6906bsAAAAA:FkRWwTXUPiym5ecgaNFYQfC8T4uzQnLQmvxTRR6cYKKHrks6KwDeWI1qkEPrl2dHKwxEZDH4pXWU&tag=1	Done	cognitive	structural	train-test	covariate	fully generated/selected	syntactic tests	Dennis	Dieuwke	Oldschool RNN experiment testing their generalization w.r.t. combinatorial productivity by feeding "sentence templates" into the network and predicting the next word (category)															
geiger2019posing	2019	Posing fair generalization tasks for natural language inference	https://arxiv.org/pdf/1911.00811.pdf	Done	practical	structural	train-test	covariate	fully generated/selected	NLI	Dennis	Dieuwke	Generate synthetic NLI task where generalizable rules are ensured to be  learnable from train (but difficulty on test is ensured nevertheless)															
wang2019super	2019	Super{GLUE}: {A} Stickier Benchmark for General-Purpose Language Understanding Systems	https://proceedings.neurips.cc/paper/2019/file/4496bf24afe7fab6f046bf4923da8de6-Paper.pdf	Done	intrinsic	across task	pretrain-train	label	naturally occurring shifts	multitask	Christos	Dieuwke	Assumed shift or label shift															
koh2021wilds	2021	Wilds: {A} benchmark of in-the-wild distribution shifts	https://arxiv.org/abs/2012.07421	Done	practical	across domain	train-test	covariate	naturally occurring shifts	toxicity classification	Dieuwke	Christos																
koh2021wilds	2021	Wilds: {A} benchmark of in-the-wild distribution shifts	https://arxiv.org/abs/2012.07421	Done	practical	across domain	train-test	covariate	naturally occurring shifts	sentiment analysis	Christos	Dennis																
koh2021wilds	2021	Wilds: {A} benchmark of in-the-wild distribution shifts	https://arxiv.org/abs/2012.07421	Done	practical	across domain	train-test	covariate	naturally occurring shifts	toxicity classification	Christos	Dennis			https://arxiv.org/abs/2012.07421	First check done	practical	across domain	train-test	covariate	naturally occurring shifts	sentiment analysis	Christos					
nangia-bowman-2019-human	2019	They add a new training stage called pre-finetuning with huge amount of data on a number of enormous tasks. This stage is after pretraining, before finetuning (for task-specific knowledge). So basically, I think none of the locus options work for this and it is more. like prefinetune-finetune!	https://aclanthology.org/P19-1449	Done	cognitive	across task	pretrain-train	label	naturally occurring shifts	multitask	Dennis	Dieuwke	Paper about finding a good estimate of human performance on GLUE; however BERTs on differently-sized finetune sets are also tested															
nye2020learning	2020	Learning compositional rules via neural program synthesis	https://proceedings.neurips.cc/paper/2020/file/7a685d9edd95508471a9d3d6fcace432-Paper.pdf	Done	cognitive	compositional	train-test	covariate	fully generated/selected	seq2seq synthetic	Dennis	Florian	Neuro-symbolic program synthesis model tested on SCAN and number words															
plank2016non	2016	What to do about non-standard (or non-canonical) language in {NLP}		Done	fairness	robustness	train-test	covariate	naturally occurring shifts	POStagging	Dieuwke	Florian																
kaushik2019learning	2019	Learning The Difference That Makes A Difference With Counterfactually-Augmented Data	https://arxiv.org/pdf/1909.12434.pdf	Done	intrinsic	robustness	train-test	covariate	generated shifts	NLI	Yanai	Dieuwke	The shift is mostly natural, since the examples are minimally modified from existing, natural examples (but thus these are not completely neutral															
kaushik2019learning	2019	Learning The Difference That Makes A Difference With Counterfactually-Augmented Data	https://arxiv.org/pdf/1909.12434.pdf	Done	intrinsic	robustness	finetune-train/test	covariate	generated shifts	NLI	Yanai	Dieuwke	The shift is mostly natural, since the examples are minimally modified from existing, natural examples (but thus these are not completely neutral)															
razeghi2022impact	2022	Impact of pretraining term frequencies on few-shot reasoning		Done	intrinsic	structural	pretrain-test	covariate	generated shifts	reasoning	Yanai	Dieuwke																
yang2020strongly	2020	Strongly incremental constituency parsing with graph neural networks	https://proceedings.neurips.cc/paper/2020/file/f7177163c833dff4b38fc8d2872f1ec6-Paper.pdf	Done	cognitive	structural	train-test	assumed	naturally occurring shifts	constituency parsing	Dennis	Zhijing																
bhargava-etal-2021-generalization	2021	Generalization in {NLI}: {W}ays (Not) To Go Beyond Simple Heuristics	https://aclanthology.org/2021.insights-1.18	Done	intrinsic	robustness	all	double	generated shifts	NLI	Dieuwke	Florian	Comparison of multiple different pretraining architectures on the MNLI challenge set HANS															
liu2019roberta	2019	{RoBERTa}: {A} Robustly Optimized {BERT} Pretraining Approach	http://arxiv.org/abs/1907.11692	Done	practical	across task	pretrain-train	label	naturally occurring shifts	multitask	Yanai	Dieuwke	Paper introduces a new pretraining method, and checks how well it generalises when finetuned on different tasks. Ergo: label shift between pretrain and train															
merity2017pointer	2017	Pointer Sentinel Mixture Models	https://openreview.net/forum?id=Byj72udxe	Done	practical	structural	train-test	covariate	natural data splits	language modelling	Yanai	Dieuwke	Investigation of how two different types of networks behave for rare words.															
chowdhery2022palm	2022	Palm: Scaling language modeling with pathways	https://arxiv.org/pdf/2204.02311.pdf	Flag for further review	practical	across task	pretrain-test	assumed	naturally occurring shifts	multitask	Mikel		GPT-3 style in context learning. They also have multilingual experiments but same consideration as for li2021xglm															
chowdhery2022palm	2022	Palm: Scaling language modeling with pathways	https://arxiv.org/pdf/2204.02311.pdf	Flag for further review	practical	across task	finetune-train/test	label	naturally occurring shifts	multitask	Mikel	Dennis	Finetuning on SuperGLUE															
khishigsuren2022using	2022	Using Linguistic Typology to Enrich Multilingual Lexicons: the Case of Lexical Gaps in Kinship	https://doi.org/10.48550/arXiv.2204.05049	Done	practical	across domain	pretrain-test	covariate	generated shifts	machine translation	Huygaa	Dennis	Paper tested Google Translate in the kinship domain. The test data was manually translated from British National Corpus 															
srivastava2022beyond	2022	Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models	https://arxiv.org/pdf/2206.04615.pdf	Done	practical	across task	pretrain-test	assumed	generated shifts	multitask	Dennis	Dieuwke	There are so many tasks in BigBench it's insane (https://github.com/google/BIG-bench/blob/main/bigbench/benchmark_tasks/README.md). How should we treat this? 															
srivastava2022beyond	2022	Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models	https://arxiv.org/pdf/2206.04615.pdf	Done	fairness	robustness	pretrain-test	assumed	generated shifts	multitask	Dennis	Dieuwke	Social bias experiments															
srivastava2022beyond	2022	Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models	https://arxiv.org/pdf/2206.04615.pdf	Done	practical	across language	pretrain-test	assumed	generated shifts	multitask	Dennis	Dieuwke	Experiments to non-english languages, explicit discussion of this data not being present in the training data is included in the test															
lazaridou2021mind	2021	Mind the gap: {A}ssessing temporal generalization in neural language models	https://proceedings.neurips.cc/paper/2021/file/f5bf0ba0a17ef18f9607774722f5698c-Paper.pdf	Done	practical	across domain	train-test	full	naturally occurring shifts	language modelling	Mario	Dieuwke																
lazaridou2021mind	2021	Mind the gap: {A}ssessing temporal generalization in neural language models	https://proceedings.neurips.cc/paper/2021/file/f5bf0ba0a17ef18f9607774722f5698c-Paper.pdf	Done	practical	across domain	finetune-train/test	full	generated shifts	question answering	Mario	Dieuwke																
malinin2021shifts	2021	{A} Dataset of Real Distributional Shift Across Multiple Large-Scale Tasks	https://datasets-benchmarks-proceedings.neurips.cc/paper/2021/hash/ad61ab143223efbc24c7d2583be69251-Abstract-round2.html	Done	practical	across domain	train-test	covariate	natural data splits	machine translation	Dieuwke	Dennis	Experiments with within and out-of-domain machine translation in Russian and English															
rumelhart1986learning	1986	On learning the past tenses of {E}nglish verbs		Done	cognitive	structural	train-test	covariate	naturally occurring shifts	morphological inflection	Verna	Dieuwke	I think only the "Transfer to Novel Verbs" experiments qualify for being included here. I think they are a form of OOD generalisation because they are specifically low-frequency verbs, so the train-test distribution is not IID.															
li-etal-2021-leveraging	2021	Leveraging Paradigmatic Information in Inflection Acceptability Prediction: The {JHU-SFU} Submission to {SIGMORPHON} Shared Task 0.2	https://drive.google.com/file/d/13G0gweT_7b4-uQoEs3bEMc9ftmxcV_1i/view	Done	cognitive	across language	train-test	covariate	generated shifts	morphological inflection	Huygaa	Dieuwke	This system was submitted to part 2 of the shared task															
nllb2022no	2022	No Language Left Behind: Scaling Human-Centered Machine Translation	https://doi.org/10.48550/arXiv.2207.04672	Done	fairness	across domain	all	covariate	naturally occurring shifts	machine translation	Verna	Dieuwke	Out of domain experiments. Not sure about the locus: the monolingual data vs the mined bitext vs the test data might be a "full shift". 															
nllb2022no	2022	No Language Left Behind: Scaling Human-Centered Machine Translation	https://doi.org/10.48550/arXiv.2207.04672	Done	fairness	across language	all	covariate	naturally occurring shifts	machine translation	Verna	Dieuwke	Zero-shot performance for language pairs unseen together during training.															
ludwig-etal-2022-improving	2022	Improving Generalization of Hate Speech Detection Systems to Novel Target Groups via Domain Adaptation	https://aclanthology.org/2022.woah-1.4	Done	practical	across domain	train-test	covariate	naturally occurring shifts	hate speech detection	Dieuwke	Florian	They consider two different scenarios, where the shift has a different locus (e.g. comparing models trained from scratch with pretrained models)															
ludwig-etal-2022-improving	2022	Improving Generalization of Hate Speech Detection Systems to Novel Target Groups via Domain Adaptation	https://aclanthology.org/2022.woah-1.4	Done	practical	across domain	finetune-train/test	covariate	naturally occurring shifts	hate speech detection	Dieuwke	Florian																
sachdeva-etal-2022-targeted	2022	Targeted Identity Group Prediction in Hate Speech Corpora	https://aclanthology.org/2022.woah-1.22	Done	practical	across domain	all	double	naturally occurring shifts	hate speech detection	Dieuwke	Florian																
wei-etal-2022-compositional	2022	Compositional Generalization for Kinship Prediction through Data Augmentation	https://aclanthology.org/2022.wnu-1.2.pdf	Flag for further review		compositional	train-test	assumed		kinship prediction	Dieuwke		Not really sure what to do with this data-augmentation study. Since compositional generalisation tests typically rely strongly on leaving out specific things from the training dataset, can we still consider these data aumentation setups to evaluate compositional generalisation?															
